auc_score,auc_std,params,iteration,train_time
0.7186836896484086,0.029438057355411384,"{'alpha': 2.9535916663575725, 'colsample_bynode': 0.8910296040746617, 'eta': 0.34523346105541486, 'gamma': 1.0577773931030006, 'lambda': 1.5599207763394443, 'max_depth': 7.0, 'n_estimators': 91.0, 'subsample': 0.9328517319681886}",1,13.414646999997785
0.7329893623451493,0.027875406356756595,"{'alpha': 0.6452086790337929, 'colsample_bynode': 0.7798011211085847, 'eta': 0.29587338221897397, 'gamma': 0.4376173277972665, 'lambda': 2.519266888766486, 'max_depth': 6.0, 'n_estimators': 83.0, 'subsample': 0.7443813817171165}",2,9.289262899997993
0.7501278382959199,0.03184391213388177,"{'alpha': 1.3136437710231075, 'colsample_bynode': 0.8968310628708497, 'eta': 0.2501211887326621, 'gamma': 0.8563545608154759, 'lambda': 2.4278050858921816, 'max_depth': 8.0, 'n_estimators': 24.0, 'subsample': 0.9041935865882462}",3,4.059874900005525
0.7615204505863482,0.029512431667208884,"{'alpha': 1.7529902917801992, 'colsample_bynode': 0.894229328261473, 'eta': 0.35595005111684375, 'gamma': 2.3066038327286273, 'lambda': 2.41440426660197, 'max_depth': 3.0, 'n_estimators': 88.0, 'subsample': 0.7971152867107556}",4,5.947967699990841
0.7410092596298288,0.028953601791946417,"{'alpha': 1.4767123153730375, 'colsample_bynode': 0.7399265667873969, 'eta': 0.35038319470737544, 'gamma': 0.32195632721909717, 'lambda': 2.1918179142225878, 'max_depth': 6.0, 'n_estimators': 59.0, 'subsample': 0.7896856681216361}",5,6.434933199998341
0.7577204358294412,0.02739317332211346,"{'alpha': 2.624875711466748, 'colsample_bynode': 0.9535765260877931, 'eta': 0.17033755721178145, 'gamma': 2.3583992359330233, 'lambda': 1.21471065135134, 'max_depth': 4.0, 'n_estimators': 40.0, 'subsample': 0.7290401204211765}",6,4.082747100008419
0.7593050863731986,0.02994278009394549,"{'alpha': 1.7207703650295767, 'colsample_bynode': 0.7995440466668955, 'eta': 0.3173640045134891, 'gamma': 2.032529396404038, 'lambda': 1.469433595218087, 'max_depth': 5.0, 'n_estimators': 26.0, 'subsample': 0.7107692045938401}",7,2.8941645000013523
0.7528642069735281,0.033517102011624805,"{'alpha': 1.0561751729385622, 'colsample_bynode': 0.5487767285994197, 'eta': 0.23393724941324714, 'gamma': 0.30509598181090225, 'lambda': 1.696619172460645, 'max_depth': 5.0, 'n_estimators': 59.0, 'subsample': 0.7906295506531708}",8,4.904755499999737
0.7629987970485528,0.03480345772422211,"{'alpha': 1.2966508988886138, 'colsample_bynode': 0.6726021326082625, 'eta': 0.398446385105385, 'gamma': 1.4409842090364369, 'lambda': 2.886658254510877, 'max_depth': 3.0, 'n_estimators': 80.0, 'subsample': 0.8553153743601032}",9,4.973010000001523
0.7436828579254062,0.026906105652116135,"{'alpha': 2.801908069377201, 'colsample_bynode': 0.5317002965391381, 'eta': 0.34779909821391747, 'gamma': 2.576155896615753, 'lambda': 2.6502884556819843, 'max_depth': 6.0, 'n_estimators': 70.0, 'subsample': 0.9707159050721719}",10,5.63479820000066
0.7633302016080088,0.030347473948758533,"{'alpha': 2.033019843119576, 'colsample_bynode': 0.8703377416053371, 'eta': 0.21657865327094197, 'gamma': 1.0357034678939372, 'lambda': 2.025802998906448, 'max_depth': 3.0, 'n_estimators': 55.0, 'subsample': 0.9964238845686295}",11,3.4688501999917207
0.7559584965280918,0.029507241542097412,"{'alpha': 0.5052202065542438, 'colsample_bynode': 0.9237938586049609, 'eta': 0.33681594154517397, 'gamma': 2.3006082793315263, 'lambda': 1.6577529016894046, 'max_depth': 5.0, 'n_estimators': 31.0, 'subsample': 0.7310253642086149}",12,3.5457049000106053
0.7611645884296954,0.02618386869124419,"{'alpha': 1.180628011519433, 'colsample_bynode': 0.5110381792922639, 'eta': 0.1928423454110999, 'gamma': 0.20874130881554154, 'lambda': 1.721405250722454, 'max_depth': 4.0, 'n_estimators': 38.0, 'subsample': 0.7766522784627892}",13,2.6062345999962417
